全国書誌番号,ISBN,ISSN,タイトル・著者,版表示,シリーズ,出版事項,大きさ等
23613420,978-4-86675-178-8,,拝啓陛下、2度目の王妃はお断り! 1 / 兎原シイタ 漫画 ; 藤咲実佳 原作 ; 笹原亜美 キャラクター原案,,POLARIS COMICS,"東京 : フレックスコミックス, 2021.11",1冊 ; 19cm
23625298,978-4-86675-179-5,,白魔術師は勇者のレベルを上げたくない = THE WHITE MAGICIAN DOESN'T WANT TO RAISE HERO'S LEVEL. 2 / 桐江 著,,METEOR COMICS,"東京 : フレックスコミックス, 2021.12",176p ; 19cm
23621998,978-4-86675-180-1,,邪神ちゃんドロップキック = DROPKICK ON MY DEVIL! 18 / ユキヲ 著,,メテオCOMICS,"東京 : フレックスコミックス, 2021.12",145p ; 19cm
23622661,978-4-86675-184-9,,怨霊奥様. 8 / 若狭たけし 著,,,"東京 : BookLive, 2021.12",1冊(ページ付なし) ; 19cm
23500842,978-4-86676-023-0,,日本語/日本語教育研究 = Studies in Japanese language and Japanese language teaching. 11 (2020) / 日本語/日本語教育研究会,,,"東京 : ココ出版, 2020.12",230 p ; 21 cm
23477200,978-4-86676-024-7,,成人教育 (adult education) としての日本語教育 = Japanese language education as adult education : 在日パキスタン人コミュニティの言語使用・言語学習のリアリティから考える / 福永由佳 著.,,日本語教育学の新潮流 ; 27,"東京 : ココ出版, 2020.10.",274p ; 22cm.
23517744,978-4-86676-026-1,,思考と言語の実践活動へ = Constructing activities through thinking and languaging : 日本語教育における表現活動の意義と可能性 / 西口光一 編,,日本語教育学研究 ; 9,"東京 : ココ出版, 2020.12",166 p ; 22 cm
23478244,978-4-86676-027-8,,外国にルーツを持つ女性たち : 彼女たちの「こころの声」を聴こう! / 嶋田和子 著.,,,"東京 : ココ出版, 2020.12.",214p ; 21cm.
23511198,978-4-86676-028-5,,"中級日本語文法を教えるためのアイデア集 / 岡本智美, 松浦みゆき, 角田亮子 著",,,"東京 : ココ出版, 2021.2","7, 155 p ; 26 cm"
23525877,978-4-86676-030-8,,ニュースの談話構造の総合的研究 / 井上裕之,,,"東京 : ココ出版, 2021.2",366 p ; 22 cm
23545616,978-4-86676-031-5,,接触場面における中国人日本語学習者のコミュニケーション・ストラテジー = Communication strategies of Chinese-speaking learners of Japanese in Japanese-based contact situations : 自然習得環境下での使用実態および変容 / 許挺傑,,日本語教育学の新潮流 ; 28,"東京 : ココ出版, 2021.3",213 p ; 22 cm
23562621,978-4-86676-032-2,,「可能性」としてのもう一つの日本 : 「日韓歴史認識」の連帯を切り拓く手がかりとして / 羅義圭,,,"東京 : ココ出版, 2021.3",329 p ; 22 cm
23567027,978-4-86676-033-9,,日本語教師の専門性を考える / 舘岡洋子 編,,,"東京 : ココ出版, 2021.6",277 p ; 21 cm
